subject_id,Condition,Stimulus,Response,Accuracy,Confidence,stimAngle,RT_dec,RT_conf
1,2,0,0,1,4,-25.5264699,1.307312977,2.923020856
1,2,1,1,1,3,3.922526369,1.081113708,2.216984859
1,2,0,1,0,3,20.1782383,1.011188356,1.65155277
1,2,1,1,1,2,6.50810225,0.900509757,1.508873749
1,2,1,1,1,4,29.2940638,0.588593784,1.100962525
1,2,1,0,0,3,-5.331686401,1.636734861,2.629450167
1,2,1,1,1,2,7.335440757,0.831346924,1.42319663
1,2,0,0,1,4,-21.2920748,0.586239795,1.370735693
1,2,0,1,0,2,3.364894066,1.448091716,2.087869139
1,2,0,0,1,3,-11.72173274,0.951284451,1.639556418
1,2,0,0,1,1,1.442444811,1.690168813,2.585730889
1,2,1,1,1,3,19.22679062,4.357374404,5.045739732
1,2,0,0,1,3,-8.609781533,1.596024565,3.227625914
1,2,1,1,1,4,23.20510713,0.653635851,1.917130422
1,2,0,1,0,4,34.36717475,0.644252372,1.300334583
1,2,1,1,1,3,16.64349624,2.467154115,2.979864258
1,2,1,0,0,1,6.987828169,2.0462866,2.606711444
1,2,1,1,1,3,23.63653472,1.544743506,2.521136986
1,2,1,1,1,2,8.20693222,1.190080169,1.782743491
1,2,1,0,0,3,-12.72725811,1.858209573,2.69023457
1,2,0,0,1,3,1.538958732,1.240660748,2.169282187
1,2,0,0,1,2,-7.290091328,1.525139023,2.29273515
1,2,1,1,1,3,2.228078532,2.044716784,3.180965318
1,2,0,1,0,2,15.77614453,0.990914459,2.383556026
1,2,1,1,1,4,40.74121104,0.738261857,1.314524841
1,2,0,0,1,3,-16.60606743,0.992584408,1.985100985
1,2,0,0,1,3,-5.338359955,1.253304688,1.876775657
1,2,0,1,0,1,-21.73768436,2.49351558,3.789459421
1,2,0,1,0,2,5.047894507,1.543201036,2.71123504
1,2,1,0,0,4,-35.36261726,0.652631477,1.164757997
1,2,1,1,1,3,25.0220677,0.497644339,1.137382334
1,2,0,0,1,3,-3.259815824,2.647819405,3.336374081
1,2,0,0,1,2,-2.490075717,1.059627473,1.860210033
1,2,1,1,1,3,29.04200091,1.245656352,1.901339337
1,2,0,1,0,1,-12.14400576,2.500089083,3.620229095
1,2,0,0,1,3,-9.596420115,1.572493374,2.211804699
1,2,1,0,0,3,-15.66900367,1.007575798,2.22307279
1,2,1,0,0,2,-22.74491615,0.500668793,1.801737744
1,2,0,0,1,1,-19.86397671,0.500659482,1.044885115
1,2,1,1,1,4,12.25584879,1.920247967,3.424597468
1,2,0,0,1,3,-16.94176794,1.112816909,1.784856796
1,2,0,0,1,3,-31.20355314,1.220876554,1.861313531
1,2,1,1,1,3,26.50835282,0.958854427,1.534746671
1,2,0,0,1,2,-20.01753814,0.628348436,1.524534718
1,2,1,1,1,3,6.996859898,0.971727977,1.595767228
1,2,1,1,1,4,7.185293474,0.81493446,1.327360363
1,2,1,0,0,2,2.710146875,1.262086981,3.278116448
1,2,0,1,0,3,-0.061644263,1.389315042,1.94879316
1,2,1,1,1,2,2.447759611,0.641515838,1.249800487
1,2,1,0,0,4,-22.75219578,0.83532189,1.554924861
1,1,1,0,0,3,-3.773850597,2.252545135,2.973005902
1,1,1,1,1,2,3.858568201,0.759913462,1.464050102
