Subj_idx,trial,condition,stimulus,response,confidence,rt,correct
1,1,0.045,2,2,0.618,1.81732383405324,1
1,2,0.045,1,2,0.696,1.33390962495469,0
1,3,0.045,1,1,0.612,1.39920212491415,1
1,4,0.045,2,2,0.618,1.10442041698843,1
1,5,0.045,2,2,0.728,1.86647408397403,1
1,6,0.045,2,2,0.817,1.10998112498783,1
1,7,0.045,1,1,0.693,1.21111770800781,1
1,8,0.045,1,2,0.72,1.01330229197629,0
1,9,0.045,1,2,0.64,0.825565292034298,0
1,10,0.045,1,1,0.602,0.913550334051251,1
1,11,0.045,2,1,0.52,2.05679737497121,0
1,12,0.045,1,2,0.688,0.856321166967973,0
1,13,0.045,1,2,0.536,2.7683800420491,0
1,14,0.045,2,1,0.579,1.77627345791552,0
1,15,0.045,1,1,0.547,1.87289866595529,1
1,16,0.045,1,2,0.627,2.2568678339012,0
1,17,0.045,1,2,0.661,1.21449795807712,0
1,18,0.045,1,1,0.539,1.91111633402761,1
1,19,0.045,2,1,0.517,4.50348783307709,0
1,20,0.045,1,2,0.642,1.80687304202002,0
1,21,0.045,2,2,0.558,2.33692879194859,1
1,22,0.045,2,1,0.553,2.4948871670058,0
1,23,0.045,1,1,0.57,1.34242862509564,1
1,24,0.045,1,1,0.57,1.52111954195425,1
1,25,0.045,1,1,0.633,1.59405016701203,1
1,26,0.045,1,2,0.684,2.79242862504907,0
1,27,0.045,1,1,0.633,2.21863741695415,1
1,28,0.045,2,2,0.775,1.52719458297361,1
1,29,0.045,2,2,0.743,1.25757216603961,1
1,30,0.045,1,1,0.501,2.643358041998,1
1,1,0.045,1,2,0.607,1.53806841699407,0
1,2,0.045,2,2,0.599,1.59967629204039,1
1,3,0.045,1,1,0.575,1.47031024994794,1
1,4,0.045,2,1,0.698,3.957865125034,0
1,5,0.045,2,1,0.63,1.38610391609836,0
1,6,0.045,2,1,0.63,0.987722082994878,0
1,7,0.045,1,1,0.502,2.96064566704445,1
1,8,0.045,1,1,0.501,3.90083333291113,1
1,9,0.045,2,1,0.538,1.61389533302281,0
1,10,0.045,2,2,0.546,1.57527220901102,1
1,11,0.045,2,2,0.546,1.1064552909229,1
1,12,0.045,1,1,0.582,1.06860229198355,1
1,13,0.045,2,2,0.581,0.95384141698014,1
1,14,0.045,2,2,0.565,1.26066570798866,1
1,15,0.045,1,2,0.565,0.994838749989867,0
1,16,0.045,2,2,0.565,1.5418722499162,1
1,17,0.045,1,1,0.751,2.66610820800997,1
1,18,0.045,1,1,0.587,2.42825991706923,1
1,19,0.045,2,2,0.615,1.09390033408999,1
1,20,0.045,2,1,0.612,1.76876833301503,0
1,21,0.045,1,2,0.745,1.97935991699342,0
1,22,0.045,1,1,0.512,2.51496633293573,1
1,23,0.045,2,1,0.506,2.043666249956,0
1,24,0.045,1,2,0.516,2.29175991704687,0
1,25,0.045,1,2,0.516,1.47000216704328,0
1,26,0.045,2,2,0.666,0.991121208062395,1
1,27,0.045,1,2,0.684,0.972813250031322,0
1,28,0.045,2,2,0.679,0.75574854190927,1
1,29,0.045,1,2,0.789,1.42870325001422,0
1,30,0.045,2,2,0.75,1.11123970791232,1
1,1,0.045,1,1,0.64,1.30886825011112,1
1,2,0.045,1,1,0.578,1.09700058295857,1
1,3,0.045,1,2,0.629,0.820106000057422,0
1,4,0.045,1,2,0.575,1.96978904190473,0
1,5,0.045,1,1,0.589,1.95229895901866,1
1,6,0.045,1,1,0.775,1.49308725004084,1
1,7,0.045,1,2,0.752,1.5536161250202,0
1,8,0.045,2,1,0.643,1.54408087499905,0
1,9,0.045,2,1,0.592,1.26634941704106,0
1,10,0.045,1,1,0.688,1.32315900002141,1
1,11,0.045,2,1,0.688,0.79632916697301,0
1,12,0.045,1,1,0.746,1.58515083300881,1
1,13,0.045,2,1,0.71,1.06524120899849,0
1,14,0.045,2,2,0.672,1.37813283293508,1
1,15,0.045,2,2,0.659,0.795834208955057,1
1,16,0.045,1,2,0.757,1.45851833303459,0
1,17,0.045,1,2,0.604,0.835540583007969,0
1,18,0.045,1,2,0.617,1.12341591704171,0
1,19,0.045,1,1,0.644,0.898077417048626,1
1,20,0.045,2,2,0.807,0.978167542023584,1
1,21,0.045,1,2,0.669,0.817719958024099,0
1,22,0.045,1,2,0.783,1.03621200006455,0
1,23,0.045,2,1,0.511,1.67481587501243,0
1,24,0.045,1,2,0.655,1.13391833310015,0
1,25,0.045,1,2,0.826,0.995112749980763,0
1,26,0.045,2,2,0.501,3.32355029101018,1
1,27,0.045,2,1,0.576,5.16591058392078,0
1,28,0.045,2,1,0.616,1.29655954195186,0
1,29,0.045,2,2,0.647,1.1511845830828,1
1,30,0.045,2,2,0.809,0.914588375017047,1
1,1,0.045,2,1,0.622,1.54970862495247,0
1,2,0.045,2,1,0.681,1.36119187506847,0
1,3,0.045,1,1,0.609,1.04721804102883,1
1,4,0.045,1,2,0.715,1.61774183309171,0
1,5,0.045,2,1,0.524,2.21600541600492,0
1,6,0.045,2,1,0.522,1.27888470795006,0
1,7,0.045,2,2,0.595,1.74773170903791,1
1,8,0.045,2,2,0.646,2.99913545802701,1
1,9,0.045,1,1,0.574,1.41525908408221,1
1,10,0.045,1,2,0.602,1.13353079208173,0
1,11,0.045,1,2,0.598,1.36803749995306,0
1,12,0.045,1,1,0.587,1.65646720898803,1
1,13,0.045,2,2,0.637,0.929040999966674,1
1,14,0.045,2,2,0.682,0.980425167013891,1
1,15,0.045,2,2,0.516,2.83089462504722,1
1,16,0.045,1,1,0.721,1.28960341704078,1
1,17,0.045,2,2,0.625,0.87231900007464,1
1,18,0.045,1,1,0.582,2.69656754098833,1
1,19,0.045,2,2,0.654,1.08304779196624,1
1,20,0.045,2,2,0.583,1.75499825004954,1
1,21,0.045,1,1,0.598,0.744584584026597,1
1,22,0.045,2,2,0.598,2.40481912496034,1
1,23,0.045,1,1,0.777,0.958805916947313,1
1,24,0.045,2,2,0.792,0.915426749968901,1
1,25,0.045,1,1,0.743,2.00205512496177,1
1,26,0.045,1,1,0.848,1.62698479206301,1
1,27,0.045,2,1,0.519,3.28973220800981,0
1,28,0.045,1,2,0.874,1.27257129107602,0
1,29,0.045,1,2,0.7,1.1713284580037,0
1,30,0.045,2,1,0.508,2.67498316604178,0
1,1,0.06,2,2,0.589,1.50308483396657,1
1,2,0.06,2,2,0.675,0.840170167037286,1
1,3,0.06,1,2,0.675,0.867348207975738,0
1,4,0.06,2,1,0.612,1.14384575001895,0
1,5,0.06,2,2,0.63,1.01642449991778,1
1,6,0.06,1,2,0.74,0.899702582973987,0
1,7,0.06,2,1,0.543,1.63393099990208,0
1,8,0.06,1,2,0.538,1.41929700004403,0
1,9,0.06,1,1,0.558,1.20036237500608,1
1,10,0.06,1,1,0.748,2.21304208401125,1
1,11,0.06,2,2,0.661,0.789880500058644,1
1,12,0.06,1,2,0.68,1.22849741601385,0
1,13,0.06,1,1,0.523,2.79981424997095,1
1,14,0.06,1,1,0.639,1.03331195795909,1
1,15,0.06,2,2,0.727,1.47651125001721,1
1,16,0.06,1,2,0.714,0.728866624995135,0
1,17,0.06,1,1,0.547,1.17209458397701,1
1,18,0.06,1,2,0.56,1.03665666596498,0
1,19,0.06,2,2,0.719,1.13422379095573,1
1,20,0.06,2,1,0.546,1.11291350005195,0
1,21,0.06,1,2,0.719,1.3239120420767,0
1,22,0.06,1,1,0.702,1.1601671660319,1
1,23,0.06,1,1,0.543,2.01339025003836,1
1,24,0.06,2,2,0.568,1.10182745789643,1
1,25,0.06,2,2,0.505,2.61878829100169,1
1,26,0.06,1,1,0.796,1.49135641602334,1
1,27,0.06,1,1,0.846,1.33272537507582,1
1,28,0.06,1,2,0.616,1.04745041695423,0
1,29,0.06,1,1,0.553,2.07318787497934,1
1,30,0.06,1,1,0.553,1.9128931669984,1
1,1,0.06,1,2,0.652,1.38970320799854,0
1,2,0.06,1,1,0.671,0.889976707985625,1
1,3,0.06,2,1,0.508,2.06839241599664,0
1,4,0.06,2,2,0.554,1.01061366696376,1
1,5,0.06,2,1,0.609,1.22762416594196,0
1,6,0.06,2,1,0.653,1.11681670800317,0
1,7,0.06,1,2,0.646,1.28802991600242,0
1,8,0.06,2,2,0.553,1.45226770802401,1
1,9,0.06,2,1,0.556,2.31825062492862,0
1,10,0.06,1,1,0.556,0.834381874999963,1
1,11,0.06,1,1,0.588,0.942761834012344,1
1,12,0.06,2,2,0.66,0.936741832992993,1
1,13,0.06,1,1,0.648,0.850318916956894,1
1,14,0.06,2,1,0.51,1.78648670902476,0
1,15,0.06,2,2,0.71,1.91188708401751,1
1,16,0.06,1,1,0.592,2.16559425008018,1
1,17,0.06,2,1,0.665,1.14352929103188,0
1,18,0.06,1,2,0.53,2.90301566699054,0
1,19,0.06,2,1,0.658,2.99094416690059,0
1,20,0.06,1,1,0.588,1.89538383297622,1
1,21,0.06,2,2,0.697,0.873423916986212,1
1,22,0.06,1,1,0.547,2.99000962497666,1
1,23,0.06,2,2,0.684,1.76023295905907,1
1,24,0.06,2,2,0.785,0.9368404999841,1
1,25,0.06,1,2,0.785,0.595270959078334,0
