subject_id,Age,Sex,Group,Condition,Stimulus,Response,Accuracy,RT_dec,confidence,conf_rt,type3,type3_rt,attention
1,69,Female,1,0,1,0,0,724,2,1663,1,1358,1
1,69,Female,1,0,1,1,1,810,2,2431,1,1374,1
1,69,Female,1,0,1,0,0,764,2,1373,1,1278,1
1,69,Female,1,0,0,0,1,891,2,942,2,1087,1
1,69,Female,1,0,0,0,1,841,2,974,1,1007,1
1,69,Female,1,0,1,1,1,1130,2,1199,1,1055,1
1,69,Female,1,0,1,0,0,651,2,1406,2,1327,1
1,69,Female,1,0,0,0,1,939,2,927,2,815,1
1,69,Female,1,0,0,0,1,1674,2,1087,1,1119,1
1,69,Female,1,0,0,1,0,2010,1,1790,1,1807,1
1,69,Female,1,0,0,0,1,683,2,1246,2,1486,1
1,69,Female,1,0,0,0,1,732,2,1599,2,1406,1
1,69,Female,1,0,1,1,1,860,2,1790,1,974,1
1,69,Female,1,0,0,0,1,571,2,1727,1,815,1
1,69,Female,1,0,0,0,1,619,2,1007,2,1215,1
1,69,Female,1,0,1,1,1,2731,2,1903,1,479,1
1,69,Female,1,0,1,1,1,2442,2,1374,1,927,1
1,69,Female,1,0,0,0,1,506,2,975,2,895,1
1,69,Female,1,0,0,0,1,2713,2,1135,1,3087,1
1,69,Female,1,0,1,1,1,619,2,1326,1,894,1
1,69,Female,1,0,1,1,1,970,2,2030,1,591,1
1,69,Female,1,0,1,0,0,874,2,1950,1,1023,1
1,69,Female,1,0,1,1,1,812,2,2190,1,975,1
1,69,Female,1,0,1,0,0,619,2,767,2,623,1
1,69,Female,1,0,1,1,1,1228,2,1103,1,927,1
1,69,Female,1,0,0,0,1,587,2,815,2,1055,1
1,69,Female,1,0,1,0,0,1227,2,1022,1,623,1
1,69,Female,1,0,1,0,0,1195,2,861,1,894,1
1,69,Female,1,0,1,0,0,1052,2,814,1,702,1
1,69,Female,1,0,1,1,1,699,2,702,1,703,1
1,69,Female,1,0,0,0,1,4123,2,2349,1,815,1
1,69,Female,1,0,0,0,1,651,2,943,1,782,1
1,69,Female,1,0,1,0,0,1036,2,1182,1,751,1
1,69,Female,1,0,1,0,0,779,2,1631,1,1759,1
1,69,Female,1,0,0,0,1,779,2,1055,1,943,1
1,69,Female,1,0,0,0,1,715,2,911,2,654,1
1,69,Female,1,0,1,0,0,1131,2,734,1,655,1
1,69,Female,1,0,0,0,1,1051,2,1166,1,655,1
1,69,Female,1,0,0,0,1,651,2,623,1,1103,1
1,69,Female,1,0,1,1,1,763,2,943,1,1087,1
1,69,Female,1,0,0,0,1,835,1,1550,1,1246,1
1,69,Female,1,0,1,1,1,651,2,1199,1,863,1
1,69,Female,1,0,1,1,1,763,2,702,1,831,1
1,69,Female,1,0,1,1,1,1290,2,830,1,783,1
1,69,Female,1,0,1,0,0,1001,1,2318,1,1470,1
1,69,Female,1,0,0,0,1,586,2,703,2,623,1
1,69,Female,1,0,1,1,1,1227,2,2559,1,1791,1
1,69,Female,1,0,1,0,0,2986,1,1647,1,1567,1
1,69,Female,1,0,1,1,1,1083,2,2366,1,1295,1
1,69,Female,1,0,0,0,1,732,2,1871,1,1055,1
1,69,Female,1,0,1,1,1,1643,1,2062,1,895,1
1,69,Female,1,0,0,0,1,861,2,1711,1,751,1
1,69,Female,1,0,1,0,0,811,2,1167,1,815,1
1,69,Female,1,0,0,0,1,811,2,895,2,783,1
1,69,Female,1,0,1,1,1,813,2,1711,2,895,1
1,69,Female,1,0,0,0,1,572,2,815,2,895,1
1,69,Female,1,0,0,1,0,1771,2,1375,1,847,1
1,69,Female,1,0,0,0,1,618,2,1247,2,1247,1
1,69,Female,1,0,0,0,1,780,2,1870,1,704,1
1,69,Female,1,0,0,0,1,491,2,1054,1,671,1
1,69,Female,1,0,0,0,1,954,1,2222,1,1103,1
1,69,Female,1,0,0,0,1,876,1,1054,1,863,1
1,69,Female,1,0,0,0,1,730,1,1215,1,847,1
1,69,Female,1,0,1,0,0,1052,1,1135,1,1055,1
1,69,Female,1,0,0,0,1,1275,2,1055,1,704,1
1,69,Female,1,0,1,0,0,2332,1,1055,1,767,1
1,69,Female,1,0,1,1,1,524,2,1263,1,927,1
1,69,Female,1,0,1,0,0,860,1,1438,1,784,1
1,69,Female,1,0,0,0,1,1821,2,1917,1,1279,1
1,69,Female,1,0,1,1,1,1787,1,1406,1,671,1
1,69,Female,1,0,1,0,0,1003,1,1742,1,862,1
1,69,Female,1,0,0,0,1,891,2,1599,1,607,1
1,69,Female,1,0,0,0,1,1051,2,815,1,622,1
1,69,Female,1,0,1,0,0,1355,1,1279,1,895,1
1,69,Female,1,0,1,1,1,699,1,1135,1,1727,1
1,69,Female,1,0,0,0,1,571,2,1487,1,927,1
1,69,Female,1,0,0,0,1,731,2,1135,1,1135,1
1,69,Female,1,0,1,1,1,1194,1,1055,2,1294,1
1,69,Female,1,0,1,1,1,1304,1,1759,1,1134,1
1,69,Female,1,0,0,0,1,652,2,1053,1,702,1
1,69,Female,1,0,1,1,1,1378,1,1951,1,782,1
1,69,Female,1,0,0,0,1,618,1,1328,1,701,1
1,69,Female,1,0,0,0,1,603,2,1791,1,623,1
1,69,Female,1,0,1,1,1,731,1,735,1,767,1
1,69,Female,1,0,1,0,0,1132,1,815,1,703,1
1,69,Female,1,0,1,0,0,1436,1,703,2,575,1
1,69,Female,1,0,0,0,1,652,2,1806,1,657,1
1,69,Female,1,0,1,1,1,809,1,1870,1,704,1
1,69,Female,1,0,0,0,1,616,2,847,1,703,1
1,69,Female,1,0,1,1,1,955,1,1293,1,622,1
1,69,Female,1,0,1,0,0,1114,1,1326,2,863,1
1,69,Female,1,0,0,0,1,585,2,1390,1,671,1
1,69,Female,1,0,0,0,1,841,2,1646,1,942,1
1,69,Female,1,0,0,0,1,684,2,1246,1,702,1
1,69,Female,1,0,0,0,1,683,2,814,1,751,1
1,69,Female,1,0,1,1,1,1593,1,1679,1,1663,1
1,69,Female,1,0,0,0,1,619,2,1967,1,1103,1
1,69,Female,1,0,1,1,1,1145,1,1246,1,814,1
1,69,Female,1,0,1,1,1,1563,1,1007,2,1727,1
1,69,Female,1,0,0,0,1,922,1,1551,1,1647,1
1,69,Female,1,0,0,0,1,651,2,1214,1,783,1
1,69,Female,1,0,1,1,1,731,1,2063,1,894,1
1,69,Female,1,0,1,1,1,1163,1,975,1,893,1
1,69,Female,1,0,1,0,0,859,1,1006,1,976,1
1,69,Female,1,0,1,1,1,1674,1,942,1,703,1
1,69,Female,1,0,0,0,1,568,2,1487,1,494,1
1,69,Female,1,0,1,1,1,538,1,1215,1,655,1
1,69,Female,1,0,0,0,1,972,2,2510,1,622,1
1,69,Female,1,0,1,1,1,1899,1,1295,1,1391,1
1,69,Female,1,0,1,0,0,573,1,1437,1,591,1
1,69,Female,1,0,0,0,1,762,2,1294,1,575,1
1,69,Female,1,0,1,0,0,2059,2,1086,1,943,1
1,69,Female,1,0,0,0,1,491,2,1247,1,639,1
1,69,Female,1,0,0,0,1,683,2,1519,1,750,1
1,69,Female,1,0,0,0,1,795,2,1038,1,623,1
1,69,Female,1,0,0,0,1,1161,1,814,1,751,1
1,69,Female,1,0,0,0,1,1004,1,1199,2,559,1
1,69,Female,1,0,0,0,1,1386,1,943,1,862,1
1,69,Female,1,0,0,0,1,652,2,2175,1,558,1
1,69,Female,1,0,1,1,1,650,1,1005,1,670,1
1,69,Female,1,0,0,0,1,1570,1,782,1,703,1
1,69,Female,1,0,1,1,1,731,2,927,1,783,1
1,69,Female,1,0,0,0,1,892,1,1791,1,671,1
1,69,Female,1,0,0,0,1,570,2,863,1,735,1
1,69,Female,1,0,1,0,0,730,2,783,1,1486,1
1,69,Female,1,0,0,0,1,1242,2,1279,2,766,1
1,69,Female,1,0,1,1,1,730,2,1214,2,990,1
1,69,Female,1,0,1,1,1,1355,1,830,2,847,1
1,69,Female,1,0,1,0,0,1370,1,1550,1,862,1
1,69,Female,1,0,1,0,0,842,1,895,2,830,1
1,69,Female,1,0,1,1,1,2137,1,895,1,2111,1
1,69,Female,1,0,1,0,0,1531,1,2157,1,1167,1
1,69,Female,1,0,0,0,1,763,1,2143,1,463,1
1,69,Female,1,0,0,0,1,1001,2,1166,1,1055,1
1,69,Female,1,0,0,0,1,1273,1,942,1,815,1
1,69,Female,1,0,0,0,1,570,2,1295,1,654,1
1,69,Female,1,0,1,1,1,922,2,1806,1,703,1
1,69,Female,1,0,1,0,0,1354,1,1406,1,815,1
1,69,Female,1,0,0,0,1,1673,2,1438,1,510,1
1,69,Female,1,0,1,0,0,1081,2,2174,1,783,1
1,69,Female,1,0,0,0,1,729,2,3598,1,1838,1
1,69,Female,1,0,1,1,1,1706,1,1326,1,2158,1
1,69,Female,1,0,0,0,1,1145,1,1182,1,703,1
1,69,Female,1,0,0,0,1,602,2,830,1,655,1
1,69,Female,1,0,1,1,1,618,2,1246,1,942,1
1,69,Female,1,0,1,0,0,1530,1,1102,2,656,1
1,69,Female,1,0,0,0,1,969,1,1550,1,1407,1
1,69,Female,1,0,0,0,1,970,1,1247,1,975,1
1,69,Female,1,0,0,0,1,729,1,815,1,831,1
1,69,Female,1,0,0,0,1,650,2,1327,1,782,1
1,69,Female,1,0,0,0,1,2089,1,781,2,1054,1
1,69,Female,1,0,1,1,1,922,1,1438,1,782,1
1,69,Female,1,0,0,0,1,618,2,2015,1,782,1
1,69,Female,1,0,0,0,1,969,2,1838,1,1150,1
1,69,Female,1,0,0,0,1,842,2,1951,1,782,1
1,69,Female,1,0,1,1,1,809,1,1518,1,1215,1
1,69,Female,1,0,0,0,1,778,1,1086,1,750,1
1,69,Female,1,0,1,1,1,1466,1,925,2,830,1
1,69,Female,1,0,0,0,1,1704,1,1054,2,702,1
1,69,Female,1,0,0,0,1,1385,1,2223,1,654,1
1,69,Female,1,0,1,1,1,721,2,1406,1,702,1
1,69,Female,1,0,0,0,1,602,2,894,1,750,1
1,69,Female,1,0,0,0,1,523,2,782,1,1374,1
1,69,Female,1,0,0,0,1,1353,2,814,1,751,1
1,69,Female,1,0,1,1,1,1274,1,814,2,734,1
1,69,Female,1,0,1,0,0,649,1,1486,1,735,1
1,69,Female,1,0,1,0,0,1513,1,1039,1,1183,1
1,69,Female,1,0,0,0,1,601,2,1407,1,703,1
1,69,Female,1,0,0,0,1,778,1,894,1,783,1
1,69,Female,1,0,0,0,1,1194,1,1486,1,590,1
1,69,Female,1,0,1,0,0,1624,1,1054,1,814,1
1,69,Female,1,0,1,0,0,1594,1,1438,2,782,1
1,69,Female,1,0,0,1,0,1225,1,1454,1,1406,1
1,69,Female,1,0,0,0,1,569,2,1167,1,622,1
1,69,Female,1,0,0,0,1,634,2,1535,1,735,1
1,69,Female,1,0,0,0,1,569,2,1215,1,1055,1
1,69,Female,1,0,0,0,1,1466,2,1805,1,702,1
1,69,Female,1,0,0,0,1,649,2,1006,1,1886,1
1,69,Female,1,0,0,1,0,1818,1,974,2,1102,1
1,69,Female,1,0,1,1,1,4393,1,862,1,735,1
1,69,Female,1,0,0,0,1,1483,1,894,1,703,1
1,69,Female,1,0,0,0,1,329,2,1359,1,671,1
1,69,Female,1,0,0,0,1,682,2,735,1,831,1
1,69,Female,1,0,0,0,1,843,2,894,1,623,1
1,69,Female,1,0,1,1,1,890,1,1167,1,863,1
1,69,Female,1,0,0,0,1,2330,1,3167,1,1133,1
1,69,Female,1,0,0,0,1,1114,1,942,2,1134,1
1,69,Female,1,0,1,1,1,1435,1,782,2,895,1
1,69,Female,1,0,1,0,0,1513,1,687,2,751,1
1,69,Female,1,0,0,0,1,1114,1,1566,1,574,1
1,69,Female,1,0,1,1,1,346,2,1518,1,750,1
1,69,Female,1,0,0,0,1,842,2,2302,1,894,1
1,69,Female,1,0,0,0,1,1866,1,1294,1,542,1
1,69,Female,1,0,0,0,1,681,2,1246,1,655,1
1,69,Female,1,0,1,1,1,921,2,1102,1,816,1
1,69,Female,1,0,1,1,1,969,2,654,1,1087,1
1,69,Female,1,0,0,0,1,682,2,1487,1,1055,1
1,69,Female,1,0,0,0,1,1162,2,1055,1,703,1
1,69,Female,1,0,0,0,1,1497,1,591,1,1327,1
1,69,Female,1,0,0,0,1,1402,1,895,2,925,1
1,69,Female,1,0,1,0,0,1218,1,2222,2,1758,1
1,69,Female,1,0,1,0,0,1594,1,861,1,942,1
1,69,Female,1,0,0,0,1,521,2,830,1,686,1
1,69,Female,1,0,0,0,1,602,2,750,1,1054,1
1,69,Female,1,0,1,1,1,811,1,1165,1,542,1
1,69,Female,1,0,1,0,0,1305,1,846,1,1534,1
1,69,Female,1,0,0,0,1,2554,1,1597,1,623,1
1,69,Female,1,0,0,0,1,618,2,1279,1,783,1
1,69,Female,1,0,1,1,1,730,2,1006,1,592,1
1,69,Female,1,0,0,0,1,408,2,1167,1,735,1
1,69,Female,1,0,1,1,1,1193,1,782,2,1358,1
1,69,Female,1,0,0,0,1,617,1,1085,1,702,1
1,69,Female,1,0,1,1,1,1674,1,1215,1,734,1
1,69,Female,1,0,1,1,1,889,2,975,1,654,1
1,69,Female,1,0,1,0,0,602,2,782,1,783,1
1,69,Female,1,0,1,1,1,1786,2,1358,1,751,1
1,69,Female,1,0,1,1,1,1082,1,2414,2,1247,1
1,69,Female,1,0,1,0,0,1370,1,894,1,703,1
