experiment,version,subjID,completed,system,day,overall_block,block,domain_type,response_type,motor_time_type,motor_condition,time_condition,mean_accuracy,mean_confidence,median_confidence,mean_total_RT,mean_log_RT,sensitivity,criterion,metad,efficiency,m_difference,include_block
報告順序と記憶メタ認知: 2.0,experiment2,001_KN,1,booth 6,3,8,2,memory,confidence_then_decision,MF_TU,fixed,unconstrained,0.79,1.96,2,1.36605848199995,0.117741882189853,1.6138144477616,0.0347140096921147,0.737547878426694,0.468411162854002,-0.837025780178831,1
報告順序と記憶メタ認知: 2.0,experiment2,001_KN,1,booth 6,2,6,3,memory,decision_and_confidence,MF_TU,fixed,unconstrained,0.74,2,2,1.43649931500004,0.110643874923344,1.29659372689673,0.123896350740322,1.75104841900164,1.38211251208147,0.484112186462546,1
報告順序と記憶メタ認知: 2.0,experiment2,001_KN,1,booth 6,1,1,1,memory,decision_then_confidence,MF_TU,fixed,unconstrained,0.82,2.17,2,1.40600951499999,0.115279164473337,1.83607911678267,-0.0764183248184194,2.61617536390497,1.46301050627696,0.827961709470888,1
報告順序と記憶メタ認知: 2.0,experiment2,001_KN,1,booth 6,3,9,3,memory,confidence_then_decision,MR_TC,randomised,constrained,0.79,1.65,1,1.50626090600008,0.167526292772186,1.66316084808617,0.24873891677187,1.87036164911888,1.1551107432544,0.251156165972445,1
報告順序と記憶メタ認知: 2.0,experiment2,001_KN,1,booth 6,2,4,1,memory,decision_and_confidence,MR_TC,randomised,constrained,0.680412371134021,1.83505154639175,2,1.45271659587633,0.131833303562551,0.992230171292618,-0.316102715853604,0.828225075126305,0.855593127109869,-0.139787697397931,1
報告順序と記憶メタ認知: 2.0,experiment2,001_KN,1,booth 6,1,2,2,memory,decision_then_confidence,MR_TC,randomised,constrained,0.711111111111111,1.98888888888889,2,1.86273898999991,0.263468345646006,1.11262838748121,0.0187950875378326,1.17575118680299,1.0827596201027,0.0898673350469816,1
報告順序と記憶メタ認知: 2.0,experiment2,001_KN,1,booth 6,3,7,1,memory,confidence_then_decision,MR_TU,randomised,unconstrained,0.76,2.13,2,1.77848300399994,0.237947253903283,1.42446274084413,-0.129389863150849,1.17489493018794,0.84472176587549,-0.215971243326899,1
報告順序と記憶メタ認知: 2.0,experiment2,001_KN,1,booth 6,2,5,2,memory,decision_and_confidence,MR_TU,randomised,unconstrained,0.73,1.76,2,1.67382546999972,0.187533368461999,1.23989201330319,-0.152247207537088,0.267668069259116,0.220915044834184,-0.943965432026524,1
報告順序と記憶メタ認知: 2.0,experiment2,001_KN,1,booth 6,1,3,3,memory,decision_then_confidence,MR_TU,randomised,unconstrained,0.649484536082474,1.61855670103093,1,2.08743033711332,0.29489246630083,0.773951239459799,0.10180079138477,1.24798878206512,1.64791235693481,0.490673760539075,1
報告順序と記憶メタ認知: 2.0,experiment2,002_MK,1,booth 6,3,8,2,memory,confidence_then_decision,MF_TU,fixed,unconstrained,0.75,1.69,2,0.90067532,-0.0549781887432065,1.349647968233,-0.0314785787235853,1.78735030886091,1.35518133931771,0.468449098369939,1
