experiment,version,experimenter,system,subjID,date_started,date_finished,gender,age,handedness
報告順序と知覚メタ認知: 1.0,experiment1,TZ,booth 6,001_SO,2024-06-24,2024-07-02,m,21,r
報告順序と知覚メタ認知: 1.0,experiment1,TZ,booth 9,002_HS,2024-06-25,2024-07-03,m,30,r
報告順序と知覚メタ認知: 1.0,experiment1,TZ,booth 9,003_KS,2024-07-03,2024-07-09,m,26,r
報告順序と知覚メタ認知: 1.0,experiment1,TN,booth 8,004_TM,2024-07-08,2024-07-12,m,45,r
報告順序と知覚メタ認知: 1.0,experiment1,SN,booth 9,005_MT,2024-07-04,2024-07-11,f,19,r
報告順序と知覚メタ認知: 1.0,experiment1,TZ,booth 6,006_IE,2024-07-11,2024-07-18,m,23,r
報告順序と知覚メタ認知: 1.0,experiment1,TN,booth 8,007_CC,2024-07-22,2024-08-01,f,18,r
報告順序と知覚メタ認知: 1.0,experiment1,TK,booth 9,008_RM,2024-07-26,0000-01-00,m,22,r
報告順序と知覚メタ認知: 1.0,experiment1,TZ,booth 8,008_TO,2024-08-07,2024-08-15,m,23,r
報告順序と知覚メタ認知: 1.0,experiment1,TZ,booth 9,009_TY,2024-07-29,2024-08-08,m,38,r
報告順序と知覚メタ認知: 1.0,experiment1,TK,booth 8,010_SS,2024-08-15,2024-08-19,m,24,r
報告順序と知覚メタ認知: 1.0,experiment1,TK,booth 8,011_MT,2024-09-27,2024-10-03,f,27,r
報告順序と知覚メタ認知: 1.0,experiment1,TZ,booth 6,012_SI,2024-10-03,2024-10-10,m,20,r
報告順序と知覚メタ認知: 1.0,experiment1,TN,booth 8,101_YO,2024-06-24,2024-07-02,f,19,r
報告順序と知覚メタ認知: 1.0,experiment1,TN,booth 8,102_KN,2024-06-26,2024-07-03,m,25,r
報告順序と知覚メタ認知: 1.0,experiment1,YK,booth 8,103_AK,2024-07-04,2024-07-09,f,24,r
報告順序と知覚メタ認知: 1.0,experiment1,SN,booth 5,104_TO,2024-07-08,2024-07-10,m,22,r
報告順序と知覚メタ認知: 1.0,experiment1,SN,booth 8,105_KK,2024-07-04,0000-01-00,f,21,r
報告順序と知覚メタ認知: 1.0,experiment1,TK,booth 8,105_YJ,2024-07-12,2024-07-18,m,33,r
報告順序と知覚メタ認知: 1.0,experiment1,TN,booth 9,106_YO,2024-07-17,2024-07-23,f,22,r
報告順序と知覚メタ認知: 1.0,experiment1,TN,booth 5,107_MY,2024-07-23,2024-08-02,f,40,r
報告順序と知覚メタ認知: 1.0,experiment1,TN,booth 8,108_KI,2024-07-26,2024-07-31,m,27,r
報告順序と知覚メタ認知: 1.0,experiment1,YK,booth 5,109_MH,2024-07-30,2024-08-02,f,21,r
報告順序と知覚メタ認知: 1.0,experiment1,YK,booth 8,110_KS,2024-08-20,2024-08-22,f,22,r
