block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,interval,interTrial.interval,Mean,Standard deviation,SR_conf,RTrating,sub,age,gender,handedness,
0,Training - easy,0,0.40565329999662936,['left'],1,0,right,0.8,,,,,,,0,30,Man,Right,
0,Training - easy,1,0.4481303000357002,['right'],1,180,left,0.8,,,,,,,0,30,Man,Right,
0,Training - easy,2,0.41696180001599714,['right'],1,180,left,0.8,,,,,,,0,30,Man,Right,
0,Training - easy,3,0.3527701999992132,['left'],1,0,right,0.8,,,,,,,0,30,Man,Right,
0,Training - easy,4,0.3688482000143267,['left'],1,0,right,0.8,,,,,,,0,30,Man,Right,
0,Training - hard,0,0.4760093999793753,['right'],0,0,right,0.4,,,,,,,0,30,Man,Right,
0,Training - hard,1,0.5681244999868795,['right'],1,180,left,0.4,,,,,,,0,30,Man,Right,
0,Training - hard,2,0.2808118999819271,['left'],1,0,right,0.4,,,,,,,0,30,Man,Right,
0,Training - hard,3,0.4978289999999106,['right'],1,180,left,0.4,,,,,,,0,30,Man,Right,
0,Training - hard,4,0.6178520999965258,['left'],1,0,right,0.4,,,,,,,0,30,Man,Right,
1,Main,1,0.5377813999657519,['left'],1,0,right,0.5353061224489796,3.9498657865439832,1.0275632583543386,4.125,0.5,0.6799999999999999,0.9731355999829248,0,30,Man,Right,
1,Main,2,0.5362470000400208,['right'],1,180,left,0.45448979591836736,4.126668496263361,1.017811800012405,4.125,0.5,0.76,1.0617148000164889,0,30,Man,Right,
1,Main,3,0.5453147999942303,['right'],1,180,left,0.39387755102040817,3.9837800722088765,2.407795814768994,4.125,0.5,0.32000000000000006,1.0133346000220627,0,30,Man,Right,
1,Main,4,0.5390764999901876,['right'],1,180,left,0.333265306122449,4.837154076186597,3.4959683942849633,4.125,0.5,0.32000000000000006,1.3840536999632604,0,30,Man,Right,
1,Main,5,0.552411500015296,['left'],1,0,right,0.2726530612244898,4.264175579803614,1.1903038177297685,4.125,0.5,0.19999999999999996,1.3219098999979906,0,30,Man,Right,
1,Main,6,0.8250184999778867,['left'],1,0,right,0.2524489795918367,3.192858083830346,2.29756725519687,4.125,0.5,0.26,1.8818903000210412,0,30,Man,Right,
1,Main,7,0.5018414999940433,['left'],1,0,right,0.2120408163265306,3.6671920844374517,3.6301790713174644,4.125,0.5,0.17999999999999994,1.3178863999783061,0,30,Man,Right,
1,Main,8,0.7019697999930941,['right'],0,0,right,0.19183673469387755,3.8930394797524555,1.322959119140938,4.125,0.5,-0.14,1.193101699987892,0,30,Man,Right,
1,Main,9,1.0429979999898933,['left'],1,0,right,0.3130612244897959,4.888747098256667,2.650469051319366,4.125,0.5,0.32000000000000006,2.7870357999927364,0,30,Man,Right,
1,Main,10,0.68059440003708,['left'],1,0,right,0.29285714285714287,3.6346507084052297,1.470114203337538,4.125,0.5,0.26,2.262310400023125,0,30,Man,Right,
1,Main,11,0.6793721999856643,['left'],1,0,right,0.2726530612244898,4.592165639445942,3.443237989152475,4.125,0.5,-0.14,1.0863198000006378,0,30,Man,Right,
1,Main,12,0.5736867000232451,['right'],1,180,left,0.23224489795918368,4.463542149566666,3.668078769075726,4.125,0.5,0.28,1.0762908000033349,0,30,Man,Right,
1,Main,13,0.5969252999639139,['left'],0,180,left,0.2120408163265306,4.40376141274614,3.0174683724544695,4.125,0.5,-0.30000000000000004,1.8948888999875635,0,30,Man,Right,
1,Main,14,0.6490507000125945,['left'],0,180,left,0.3130612244897959,4.828115883237567,3.7170891737775373,4.125,0.5,-0.43999999999999995,1.6042237000074238,0,30,Man,Right,
1,Main,15,0.5167500000097789,['left'],1,0,right,0.39387755102040817,4.272903301521261,1.440466510351085,4.125,0.5,0.41999999999999993,1.1457667999784462,0,30,Man,Right,
1,Main,16,0.5905775999999605,['right'],1,180,left,0.3736734693877551,4.280255337198674,1.826833728946083,4.125,0.5,0.56,1.6763664000318386,0,30,Man,Right,
1,Main,17,0.723273399984464,['left'],1,0,right,0.35346938775510206,4.126103221364768,2.421445631120072,4.125,0.5,0.48,1.0301420000032522,0,30,Man,Right,
1,Main,18,0.49417239998001605,['right'],1,180,left,0.3130612244897959,4.4796526089661715,1.8246267594141887,4.125,0.5,-0.040000000000000036,0.9990801999811083,0,30,Man,Right,
1,Main,19,0.5256422000238672,['left'],1,0,right,0.29285714285714287,3.5955177178851354,3.9286918863130076,4.125,0.5,0.17999999999999994,1.0942876000190154,0,30,Man,Right,
1,Main,20,0.8375842000241391,['left'],1,0,right,0.2726530612244898,4.137379454193541,1.8569039303447419,4.125,0.5,0.10000000000000009,1.2341504999785684,0,30,Man,Right,
1,Main,21,0.5759909999906085,['right'],1,180,left,0.2524489795918367,3.5486569103077787,1.200515972512354,4.125,0.5,None,None,0,30,Man,Right,
1,Main,22,0.5274473000317812,['left'],0,180,left,0.23224489795918368,4.124387762698619,1.71190899032373,4.125,0.5,-0.19999999999999996,1.402085600013379,0,30,Man,Right,
1,Main,23,0.5533830000204034,['right'],1,180,left,0.3130612244897959,3.498815273448705,2.2143951181002453,4.125,0.5,0.3999999999999999,0.9854679999989457,0,30,Man,Right,
1,Main,24,0.4694036000291817,['right'],1,180,left,0.29285714285714287,4.272295393268608,1.930663028875,4.125,0.5,0.30000000000000004,0.8954655999550596,0,30,Man,Right,
1,Main,25,0.5020562999998219,['left'],1,0,right,0.29285714285714287,4.286968682194713,2.91930884056985,4.125,0.5,0.41999999999999993,1.215261199977249,0,30,Man,Right,
2,Main,1,0.5511769000440836,['left'],1,0,right,0.1716326530612245,4.061729370535657,2.671399313593614,4.125,0.05,0.0,0.4551849999697879,0,30,Man,Right,
2,Main,2,0.6279334000428207,['right'],1,180,left,0.29285714285714287,4.184535762519976,3.2437451583892543,4.125,0.05,0.21999999999999997,0.9262958000181243,0,30,Man,Right,
2,Main,3,0.6230262000462972,['left'],1,0,right,0.13122448979591836,4.043469575675932,2.882190664732432,4.125,0.05,0.28,1.2789462999789976,0,30,Man,Right,
2,Main,4,0.46619120001560077,['right'],1,180,left,0.13122448979591836,4.056549871942529,2.3379781232365175,4.125,0.05,0.17999999999999994,1.1925708000198938,0,30,Man,Right,
2,Main,5,0.6439373000175692,['left'],0,180,left,0.19183673469387755,4.143216524489161,3.5591127133094824,4.125,0.05,-0.21999999999999997,1.150298099964857,0,30,Man,Right,
2,Main,6,0.6238004000042565,['right'],1,180,left,0.2120408163265306,4.149884708442265,3.9010478153667396,4.125,0.05,0.32000000000000006,1.1736733000143431,0,30,Man,Right,
2,Main,7,0.5993758999975398,['left'],1,0,right,0.15142857142857144,4.159327767032605,2.688492410672682,4.125,0.05,0.08000000000000007,0.8874782999628223,0,30,Man,Right,
2,Main,8,0.7107879999675788,['right'],1,180,left,0.19183673469387755,4.175147593867935,1.5110320418769891,4.125,0.05,-0.18000000000000005,1.0365400000009686,0,30,Man,Right,
2,Main,9,0.6547572999843396,['right'],1,180,left,0.09081632653061224,4.080282348269454,2.7539001264731358,4.125,0.05,0.020000000000000018,2.023879599990323,0,30,Man,Right,
2,Main,10,0.510326299990993,['left'],1,0,right,0.1716326530612245,4.079465988373638,2.521729302501744,4.125,0.05,0.3400000000000001,2.7303613999974914,0,30,Man,Right,
2,Main,11,0.5781667999690399,['left'],0,180,left,0.11102040816326529,4.0673578811283075,3.4688855914799435,4.125,0.05,-0.24,1.2764991000294685,0,30,Man,Right,
2,Main,12,0.8797030000132509,['left'],1,0,right,0.19183673469387755,4.066385295187442,2.2364218139873153,4.125,0.05,0.17999999999999994,1.0790405999869108,0,30,Man,Right,
2,Main,13,0.5130653000087477,['left'],1,0,right,0.1716326530612245,4.079202666440355,1.6837449379696048,4.125,0.05,0.24,1.2527367000002414,0,30,Man,Right,
2,Main,14,0.7153182000038214,['right'],0,0,right,0.13122448979591836,4.1192753941307,2.3557207612692395,4.125,0.05,-0.18000000000000005,0.913587799994275,0,30,Man,Right,
2,Main,15,0.6759978999616578,['right'],0,0,right,0.1716326530612245,4.106609445382601,3.206932180956984,4.125,0.05,-0.16000000000000003,1.2171177999698557,0,30,Man,Right,
2,Main,16,0.6106038999860175,['right'],1,180,left,0.19183673469387755,4.113388869067888,2.5071638188399237,4.125,0.05,0.17999999999999994,0.9312846999964677,0,30,Man,Right,
2,Main,17,0.6923119000275619,['left'],0,180,left,0.3130612244897959,4.120061257696044,2.9901052336515073,4.125,0.05,-0.36,1.1532762999995612,0,30,Man,Right,
2,Main,18,0.6916118000517599,['right'],1,180,left,0.23224489795918368,4.1297339254444365,3.2910593180940584,4.125,0.05,0.32000000000000006,1.245189399982337,0,30,Man,Right,
2,Main,19,0.6417936999932863,['right'],1,180,left,0.29285714285714287,4.152558459145917,2.160891141065233,4.125,0.05,-0.16000000000000003,1.2061610000091605,0,30,Man,Right,
2,Main,20,0.90406669996446,['left'],1,0,right,0.29285714285714287,4.153040348648866,1.687655515448836,4.125,0.05,0.26,0.8006047999951988,0,30,Man,Right,
2,Main,21,0.5785276999813505,['right'],0,0,right,0.2726530612244898,4.199355275326277,2.0279684738931425,4.125,0.05,-0.36,0.9457760999794118,0,30,Man,Right,
2,Main,22,0.48884710000129417,['left'],1,0,right,0.35346938775510206,4.15232845417262,2.3622459491148002,4.125,0.05,0.32000000000000006,1.2351649000192992,0,30,Man,Right,
2,Main,23,0.5030204999493435,['right'],1,180,left,0.35346938775510206,4.098734186479015,1.41335210731934,4.125,0.05,0.32000000000000006,1.1715693000005558,0,30,Man,Right,
2,Main,24,0.5365200999658555,['left'],1,0,right,0.4140816326530612,4.11680887266256,1.350153940608597,4.125,0.05,0.52,1.1360846000025049,0,30,Man,Right,
